"state","SquirrelPopulationNumberOfMajorSquirrelSpecies","SquirrelPopulationSpeciesNames"
"New Hampshire",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"New Jersey",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"New Mexico",3,"Abert’s Squirrel (Sciurus aberti), \nArizona Gray Squirrel (Sciurus arizonensis), \nHarris's antelope squirrel (Ammospermophilus harrisii), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"New York",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"North Carolina",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"North Dakota",6,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nNorthern Flying Squirrel (Glaucomys sabrinus),  \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Ohio",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Oklahoma",4,"Eastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Oregon",8,"American Red Squirrel (Tamiasciurus hudsonicus), \nCalifornia Ground Squirrel (Spermophilus beecheyi), \nDouglas Squirrel (Tamiasciurus douglasii), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nHumboldt’s Flying Squirrel (Glaucomys oregonensis), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nWestern Gray Squirrel (Sciurus griseus)"
"Pennsylvania",6,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Rhode Island",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nNorthern Flying Squirrel (Glaucomys sabrinus),  \nSouthern Flying Squirrel (Glaucomys volans)"
"South Carolina",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"South Dakota",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Tennessee",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"Texas",5,"Eastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Utah",5,"Abert’s Squirrel (Sciurus aberti), \nAmerican Red Squirrel (Tamiasciurus hudsonicus), \nLeast chipmunk (Tamias minimus), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Vermont",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"Virginia",4,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nSouthern Flying Squirrel (Glaucomys volans)"
"Washington",8,"American Red Squirrel (Tamiasciurus hudsonicus), \nCalifornia Ground Squirrel (Spermophilus beecheyi), \nDouglas Squirrel (Tamiasciurus douglasii), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nHumboldt’s Flying Squirrel (Glaucomys oregonensis), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nWestern Gray Squirrel (Sciurus griseus)"
"West Virginia",5,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans)"
"Wisconsin",7,"American Red Squirrel (Tamiasciurus hudsonicus), \nEastern Gray Squirrel (Sciurus carolinensis), \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nSouthern Flying Squirrel (Glaucomys volans), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
"Wyoming",6,"Abert’s Squirrel (Sciurus aberti), \nAmerican Red Squirrel (Tamiasciurus hudsonicus), \nFox Squirrel (Sciurus niger), \nLeast chipmunk (Tamias minimus), \nNorthern Flying Squirrel (Glaucomys sabrinus), \nThirteen-Lined Ground Squirrel (Ictidomys tridecemlineatus)"
